CURVE_ID,DAY,RISKFACTOR,VALUE,RISK_CD,BSDT
IRKRW-IRS,91,0.0337,,GIRR,99999999
IRKRW-IRS,183,0.0317,,GIRR,99999999
IRKRW-IRS,365,0.0285,,GIRR,99999999
IRKRW-IRS,730,0.0272,,GIRR,99999999
IRKRW-IRS,1095,0.0269,,GIRR,99999999
IRKRW-IRS,1825,0.0271,,GIRR,99999999
IRKRW-IRS,3650,0.0278,,GIRR,99999999
IRKRW-IRS,5475,0.0272,,GIRR,99999999
IRKRW-IRS,7300,0.0254,,GIRR,99999999
IRKRW-IRS,10950,0.0222,,GIRR,99999999
IRKRW-Treasury-CSR-NSEC-B1,,,,,99999999
IRKRW-Treasury-CSR-NSEC-B1,,,,,99999999
IRKRW-Treasury-CSR-NSEC-B1,,,,,99999999
IRKRW-Treasury-CSR-NSEC-B1,,,,,99999999
IRKRW-Treasury-CSR-NSEC-B1,,,,,99999999
